subcategories,subtype,name,numberOfReviews,rating,rawRanking,Region,District
Sights & Landmarks,Points of Interest & Landmarks,Takht Sri Damdama Sahib,53,5,3.216938972,Bathindar District,Bathinda
Nature & Parks,Geologic Formations,Matanga Hill,440,4.5,4.221774578,Bellary District,Hampi
Sights & Landmarks,Sacred & Religious Sites,Virupaksha Temple,1013,4.5,4.107495785,Bellary District,Hampi
Sights & Landmarks,Sacred & Religious Sites,Monkey Temple,521,4.5,4.102717876,Bellary District,Hampi
Sights & Landmarks,Sacred & Religious Sites,Vijaya Vittala Temple,299,5,4.280986786,Bellary District,Hampi
Sights & Landmarks,"Sacred & Religious Sites, Points of Interest & Landmarks",Sri Seetha Rama Chandra Swamy Temple,112,4.5,3.524929523,Bhadradri Kothagudem District,Bhadrachalam
Sights & Landmarks,Bridges,Golden Bridge,140,4.5,3.376687527,Bharuch District,Bharuch
Nature & Parks,Parks,Victoria Park,104,4.5,3.464598894,Bhavnagar District,Bhavnagar
Museums,History Museums,Indira Gandhi Rashtriya Manav Sangrahalaya - National Museum of Mankind,288,4.5,3.996270657,Bhopal District,Bhopal
Museums,Military Museums,Yodhasthal,251,5,4.291692734,Bhopal District,Bhopal
Nature & Parks,National Parks,Van Vihar National Park,811,4,3.649985075,Bhopal District,Bhopal
Nature & Parks,Bodies of Water,Badi Jheel Lake,248,4.5,4.098167419,Bhopal District,Bhopal
Sights & Landmarks,Monuments & Statues,Shaurya Smarak Bhopal,52,4.5,3.188041687,Bhopal District,Bhopal
Sights & Landmarks,"Ancient Ruins, Cemeteries",Ibrahim Rauza Tomb,200,4.5,3.793818235,Bijapur District,Bijapur
Sights & Landmarks,"Historic Sites, Points of Interest & Landmarks",Junagarh Fort,1756,4.5,4.100793362,Bikaner District,Bikaner
Nature & Parks,Nature & Wildlife Areas,Achanakmar Wildlife Sanctuary,54,4.5,3.065371275,Bilaspur District,Bilaspur
Sights & Landmarks,Sacred & Religious Sites,Anand Sagar,99,4.5,3.111323357,Buldhana District,Shegaon
Sights & Landmarks,Sacred & Religious Sites,Gajanan Maharaj Temple,42,5,3.333699703,Buldhana District,Shegaon
"Shopping, Museums","Gift & Specialty Shops, Art Galleries",Geet Art & Jewellery,175,5,4.415829659,Bundi District,Bundi
Sights & Landmarks,"Points of Interest & Landmarks, Historic Sites, Castles",Garh Palace,399,4,3.634649992,Bundi District,Bundi
Nature & Parks,"National Parks, Nature & Wildlife Areas",Bandipur National Park and Tiger Reserve,890,4,3.458618879,Chamarajanagar District,Bandipur
Sights & Landmarks,Sacred & Religious Sites,Malai Mahadeshwara Temple,33,4.5,2.987253666,Chamarajanagar District,Bandipur
Nature & Parks,Bodies of Water,Khajjiar Lake,757,4,3.71851182,Chamba District,Chamba
Nature & Parks,Bodies of Water,Manimahesh Lake,42,4.5,3.017562389,Chamba District,Chamba
Nature & Parks,Dams,Chamera Dam,111,4,3.198435545,Chamba District,Chamba
Sights & Landmarks,Sacred & Religious Sites,Laxmi Narayan Temple,85,4.5,3.411331892,Chamba District,Chamba
"Food & Drink, Classes & Workshops",Cooking Classes,Cook With SundariKrishna,191,5,4.418244362,Chennai District,Chennai (Madras)
Sights & Landmarks,Sacred & Religious Sites,Khajuraho Temples,2785,5,4.315099239,Chhatarpur District,Khajuraho
Sights & Landmarks,"Points of Interest & Landmarks, Historic Sites",Gudibande Fort,31,4.5,3.099322557,Chikkaballapura District,Chikkaballapur
Sights & Landmarks,Sacred & Religious Sites,Sri Ranganatha Swamy Temple,17,4.5,2.91339159,Chikkaballapura District,Chikkaballapur
Nature & Parks,Waterfalls,Hebbe Falls,225,4.5,3.797332764,Chikkamagaluru District,Chikmagalur
Sights & Landmarks,"Historic Sites, Ancient Ruins",Chitradurga Fort,323,4.5,4.06489563,Chitradurga District,Chitradurga
Nature & Parks,Waterfalls,Kailasakona Waterfalls,25,4,2.875184774,Chittoor District,Chittoor
Sights & Landmarks,Sacred & Religious Sites,Srivari Mettu,164,5,4.245564461,Chittoor District,Tirupati
Sights & Landmarks,Sacred & Religious Sites,Srikalahasthi Temple,413,4.5,3.965795755,Chittoor District,Srikalahasti
Sights & Landmarks,Educational sites,Rishi Valley School,10,4.5,2.836592674,Chittoor District,Chittoor
Sights & Landmarks,Sacred & Religious Sites,Kapila Theertham ,210,4.5,3.75596118,Chittoor District,Tirupati
Nature & Parks,"Nature & Wildlife Areas, Forests, National Parks",Indira Gandhi Wildlife Sanctuary and National Park,44,4,2.935079813,Coimbatore District,Valparai
Sights & Landmarks,Lookouts,Nallamudi Viewpoint,85,4.5,3.176251411,Coimbatore District,Valparai
Sights & Landmarks,Lookouts,Loam’s View Point,72,4.5,3.185896397,Coimbatore District,Valparai
Sights & Landmarks,Sacred & Religious Sites,Balaji Temple,104,4,3.043104172,Coimbatore District,Valparai
Nature & Parks,Nature & Wildlife Areas,Pichavaram Mangrove Forest,380,4.5,4.007836819,Cuddalore District,Chidambaram
Nature & Parks,Forests,Pichavaram,47,4.5,3.1118505,Cuddalore District,Cuddalore
Museums,Specialty Museums,Netaji Birth Place Museum,56,4.5,3.109633684,Cuttack District,Cuttack
"Museums, Nature & Parks","Observatories & Planetariums, Nature & Wildlife Areas, Science Museums",Pilikula Nisargadhama,195,4,3.317489862,Dakshina Kannada District,Mangalore
Nature & Parks,Mountains,Kumara Parvatha,82,4.5,3.382073641,Dakshina Kannada District,Subramanya
Sights & Landmarks,Sacred & Religious Sites,Kukke Shree Subramanya Temple,401,4.5,4.047941208,Dakshina Kannada District,Subramanya
Sights & Landmarks,Sacred & Religious Sites,Mangaladevi Temple,232,4.5,3.762113571,Dakshina Kannada District,Mangalore
"Nature & Parks, Outdoor Activities",Beaches,Jampore Beach,757,3.5,3.21612215,Daman,
Nature & Parks,Bodies of Water,Saputara Lake,531,4,3.719952345,Dangs District,Saputara
Shopping,Shopping Malls,Vega Circle Mall,26,4.5,2.973402262,Darjeeling District,Siliguri
Sights & Landmarks,Sacred & Religious Sites,"ISKCON Siliguri, Sri Sri Radha Madhavsundara",137,4,3.400967836,Darjeeling District,Siliguri
Sights & Landmarks,Sacred & Religious Sites,Mahakal Temple,308,4.5,3.986457109,Darjeeling District,Darjeeling
Sights & Landmarks,Sacred & Religious Sites,Kali Mandir,67,4,3.09848547,Darjeeling District,Siliguri
"Sights & Landmarks, Nature & Parks","Points of Interest & Landmarks, Nature & Wildlife Areas",Lamahatta,71,4.5,3.350767374,Darjeeling District,Darjeeling
Tours,Scenic Railroads,Darjeeling Toy Train,775,3.5,3.261070251,Darjeeling District,Darjeeling
Tours,Scenic Railroads,Darjeeling Himalayan Railway,886,4,3.509679079,Darjeeling District,Darjeeling
Transportation,Tramways,Passenger Ropeway,627,4,3.595562696,Darjeeling District,Darjeeling
Nature & Parks,Valleys,Happy Valley,98,4.5,3.346954107,Dehradun District,Mussoorie
Nature & Parks,Waterfalls,Bhatta Falls,137,4,3.125786781,Dehradun District,Mussoorie
Sights & Landmarks,Sacred & Religious Sites,Swarg Ashram,114,4.5,3.226672888,Dehradun District,Rishikesh
Sights & Landmarks,Historic Sites,Maharishi Mahesh Yogi Ashram,78,4.5,3.106482983,Dehradun District,Rishikesh
Sights & Landmarks,Sacred & Religious Sites,Gita Bhawan,136,4.5,3.294845104,Dehradun District,Rishikesh
Sights & Landmarks,Sacred & Religious Sites,Tapkeshwar Temple,325,4.5,3.889645815,Dehradun District,
Sights & Landmarks,Sacred & Religious Sites,Shedup Choepelling Temple,152,4,3.414164543,Dehradun District,Mussoorie
Sights & Landmarks,Sacred & Religious Sites,Tibetan Buddhist Temple,365,4.5,4.027623177,Dehradun District,Dehradun
Sights & Landmarks,Sacred & Religious Sites,Santura Devi Temple,45,4.5,3.169766665,Dehradun District,Mussoorie
Sights & Landmarks,Sacred & Religious Sites,Gurdwara Sri Hemkund Sahib,36,4.5,3.231667519,Dehradun District,Rishikesh
Sights & Landmarks,Sacred & Religious Sites,Mindrolling Monastery,127,4.5,3.464110613,Dehradun District,
Sights & Landmarks,Sacred & Religious Sites,Tera Manzil Temple,167,4,3.310194969,Dehradun District,Rishikesh
"Sights & Landmarks, Nature & Parks","Historic Sites, Mountains",Gun Hill,1067,3.5,2.924129725,Dehradun District,Mussoorie
Spas & Wellness,Spas,Veda Spa,134,5,4.413390636,Dehradun District,Rishikesh
"Tours, Boat Tours & Water Sports, Outdoor Activities","Zipline & Aerial Adventure Parks, River Rafting & Tubing",Rishikesh Trip,106,5,4.409930706,Dehradun District,Rishikesh
Sights & Landmarks,Sacred & Religious Sites,Basukinath Temple,81,4.5,3.297911644,Deoghar District,Deoghar
Nature & Parks,Dams,Maithan Dam,170,4.5,3.496530294,Dhanbad District,Dhanbad
Nature & Parks,Waterfalls,Hogenakkal Falls,585,3.5,2.989752769,Dharmapuri District,Hogenakkal
Nature & Parks,Nature & Wildlife Areas,Sirumalai Reserved Forest,52,4,3.027796268,Dindigul District,Dindigul
Nature & Parks,Bodies of Water,Berijam Lake,790,4,3.799590111,Dindigul District,Kodaikanal
Nature & Parks,Forests,Pine Forest,1156,4,3.726042986,Dindigul District,Kodaikanal
Nature & Parks,Waterfalls,Silver Cascade Falls,117,4,3.130037308,Dindigul District,Dindigul
Sights & Landmarks,Sacred & Religious Sites,DescriptionSoundararajaperumal Temple,34,5,3.06633091,Dindigul District,Dindigul
Sights & Landmarks,Points of Interest & Landmarks,Poombarai Village View,281,4.5,3.886369467,Dindigul District,Kodaikanal
Sights & Landmarks,Sacred & Religious Sites,Abirami Amman Temple,13,5,2.877673388,Dindigul District,Dindigul
"Sights & Landmarks, Nature & Parks","Lookouts, Geologic Formations",Dolphin's Nose,174,4,3.382105112,Dindigul District,Kodaikanal
Sights & Landmarks,Historic Sites,Diu Fort,865,4,3.760418653,Diu District,Diu Island
"Nature & Parks, Outdoor Activities",Beaches,Diveagar Beach,507,4,3.746176243,Diveagar,
Nature & Parks,Nature & Wildlife Areas,Coringa Wildlife Sanctuary,82,4,3.201396942,East Godavari District,Kakinada
Nature & Parks,"Forests, Nature & Wildlife Areas",Maredumilli,32,4.5,3.12859273,East Godavari District,Rajahmundry
Sights & Landmarks,"Sacred & Religious Sites, Points of Interest & Landmarks",Pushkar Ghat,92,4.5,3.402518749,East Godavari District,Rajahmundry
Sights & Landmarks,Sacred & Religious Sites,"ISKCON Rajahmundry, Sri Sri Radha Gopinath Temple",119,4.5,3.456491709,East Godavari District,Rajahmundry
"Nature & Parks, Outdoor Activities",Beaches,Udaipur Beach,346,4,3.354911566,East Midnapore District,Digha
"Nature & Parks, Outdoor Activities",Beaches,Shankarpur Beach,168,4,3.285174131,East Midnapore District,Digha
Sights & Landmarks,"Historic Sites, Sacred & Religious Sites",Edappally Church Complex,312,4.5,4.028701782,Ernakulam District,Kochi (Cochin)
Sights & Landmarks,"Historic Walking Areas, Points of Interest & Landmarks",Marine Drive,735,4,3.584151983,Ernakulam District,Kochi (Cochin)
Sights & Landmarks,Sacred & Religious Sites,Paradesi Synagogue,1356,4,3.630615473,Ernakulam District,Kochi (Cochin)
Sights & Landmarks,"Historic Sites, Sacred & Religious Sites",Chennimalai Murugan Temple,34,5,3.119363546,Erode District,Erode
Nature & Parks,Bodies of Water,Surajkund Lake,135,3.5,3.01029563,Faridabad District,Faridabad
Shopping,Shopping Malls,Crown Interiorz Mall,135,4,3.204967976,Faridabad District,Faridabad
Sights & Landmarks,Historic Sites,Raja Nahar Singh Palace,25,4,2.915050745,Faridabad District,Faridabad
"Zoos & Aquariums, Water & Amusement Parks, Nature & Parks, Outdoor Activities","Zoos, Theme Parks",Indroda Nature Park,205,4,3.521803379,Gandhinagar District,Gandhinagar
Sights & Landmarks,Sacred & Religious Sites,Taratarini Temple,101,4.5,3.436043739,Ganjam District,Brahmapur
Nature & Parks,Parks,City Park,64,4,3.017779589,Gautam Buddha Nagar District,Greater Noida
Nature & Parks,"Nature & Wildlife Areas, Forests",Surajpur Bird Sanctuary,21,4,2.867883205,Gautam Buddha Nagar District,Greater Noida
Sights & Landmarks,"Sacred & Religious Sites, Architectural Buildings",Mahabodhi Temple,1031,5,4.293776512,Gaya District,Bodh Gaya
Sights & Landmarks,Sacred & Religious Sites,Vishnupad Temple,192,4,3.436517715,Gaya District,Gaya
Nature & Parks,Forests,City Forest,49,4,2.909836769,Ghaziabad District,Ghaziabad
Shopping,Shopping Malls,Indirapuram Habitat Centre,43,4,2.983511209,Ghaziabad District,Ghaziabad
Sights & Landmarks,Sacred & Religious Sites,Jillellamudi Amma Temple,8,4.5,2.824183464,Guntur District,Bapatla
Spas & Wellness,Spas,Red Orchid Spa ILD Mall,127,5,4.440318108,Gurgaon District,Gurugram (Gurgaon)
Museums,Specialty Museums,Jai Vilas Palace Museum,435,4,3.746697664,Gwalior District,Gwalior
Sights & Landmarks,Sacred & Religious Sites,Sas-Bahu Temple,565,4.5,3.944517851,Gwalior District,Gwalior
Sights & Landmarks,Points of Interest & Landmarks,Gopachal Parvat,147,4.5,3.613754988,Gwalior District,Gwalior
Sights & Landmarks,Sacred & Religious Sites,Har ki Pauri,1622,4.5,3.990899563,Haridwar District,Haridwar
Sights & Landmarks,Points of Interest & Landmarks,Shantikunj Gayatri Parivar,180,4.5,3.608277798,Haridwar District,Haridwar
Sights & Landmarks,Lookouts,Bisle Ghat View Point,89,4.5,3.229181528,Hassan District,Sakleshpur
Nature & Parks,Geologic Formations,Dhoopgarh,325,4.5,4.016729355,Hoshangabad District,Pachmarhi
Museums,Specialty Museums,Rail Museum,60,4,3.107846737,Howrah District,Howrah
Shopping,Shopping Malls,Avani Riverside Mall,106,4,3.074800491,Howrah District,Howrah
Sights & Landmarks,Bridges,Second Hooghly Bridge,152,4.5,3.57494688,Howrah District,Howrah
Sights & Landmarks,Points of Interest & Landmarks,Ujjaini Mahakali Temple,95,4.5,3.463960171,Hyderabad District,Secunderabad
Sights & Landmarks,Architectural Buildings,Chowmahalla Palace,1794,4.5,3.846194029,Hyderabad District,Hyderabad
Sights & Landmarks,Architectural Buildings,Taj Falaknuma Palace,962,4.5,4.128795624,Hyderabad District,Hyderabad
Water & Amusement Parks,Theme Parks,Wonderla Hyderabad,847,4.5,4.32316637,Hyderabad District,Hyderabad
Museums,Specialty Museums,Angadipetty -Kerala Ayurveda Museum,12,5,2.893666267,Idukki District,Thekkady
Nature & Parks,Mountains,Kalvari Mount,108,4.5,3.626635551,Idukki District,Idukki
Nature & Parks,Dams,Mullaperiyar Dam,46,4,2.964076281,Idukki District,Thekkady
Nature & Parks,Gardens,Deepa World Spice and Ayurvedic Garden,126,4,3.056046247,Idukki District,Thekkady
Nature & Parks,Waterfalls,Pandikuzhi Waterfalls,27,3.5,2.828964949,Idukki District,Thekkady
Sights & Landmarks,Sacred & Religious Sites,Vagamon Kurisumala,98,4.5,3.248944283,Idukki District,Vagamon
Sights & Landmarks,Sacred & Religious Sites,Mangala Devi Temple,29,4,2.920202494,Idukki District,Thekkady
Sights & Landmarks,Farms,Spice Walk,93,4.5,3.138053894,Idukki District,Thekkady
Nature & Parks,Bodies of Water,Loktak Lake,276,4.5,3.929100513,Imphal West District,Imphal
Nature & Parks,Waterfalls,Dhuandhar Falls,762,4.5,4.057086945,Jabalpur District,Jabalpur
"Food & Drink, Classes & Workshops",Cooking Classes,Pink City Cooking Class,445,5,4.500299931,Jaipur District,Jaipur
Museums,Specialty Museums,Anokhi Museum of Hand Printing,485,4.5,4.101608753,Jaipur District,Jaipur
Museums,Specialty Museums,Jaipur Wax Museum,280,4.5,3.681126356,Jaipur District,Jaipur
Nature & Parks,Nature & Wildlife Areas,Elefun,426,5,4.425305367,Jaipur District,Jaipur
Nature & Parks,Nature & Wildlife Areas,Elefanjoy Elephant Sanctuary,673,5,4.48698616,Jaipur District,Jaipur
Nature & Parks,Nature & Wildlife Areas,Elefantastic,3986,5,4.4882164,Jaipur District,Jaipur
Nature & Parks,Nature & Wildlife Areas,Ele Experience Farm,187,5,4.418244362,Jaipur District,Jaipur
Nature & Parks,"Parks, Gardens",Jawahar Circle,86,4,3.235434294,Jaipur District,Jaipur
Shopping,Gift & Specialty Shops,Jaipur Blue Pottery Art Centre,1217,5,4.452539444,Jaipur District,Jaipur
Shopping,Gift & Specialty Shops,Channi Carpets & Textiles,524,5,4.411128521,Jaipur District,Jaipur
Shopping,"Gift & Specialty Shops, Antique Stores",Gems Galaxy,137,5,4.411708355,Jaipur District,Jaipur
Shopping,Gift & Specialty Shops,Gems Paradise,191,5,4.401929855,Jaipur District,Jaipur
Shopping,Gift & Specialty Shops,Anokhi Gem palace,182,5,4.472247601,Jaipur District,Jaipur
"Shopping, Museums","Art Galleries, Art Museums",Mukesh Art Gallery,304,5,4.456636906,Jaipur District,Jaipur
Sights & Landmarks,"Historic Sites, Castles, Architectural Buildings",Amber Palace,18542,4.5,5,Jaipur District,Jaipur
Sights & Landmarks,"Historic Sites, Architectural Buildings",Jal Mahal,3932,4,3.389348745,Jaipur District,Jaipur
Sights & Landmarks,"Points of Interest & Landmarks, Sacred & Religious Sites",Monkey Temple,1959,4,3.4992733,Jaipur District,Jaipur
Sights & Landmarks,"Sacred & Religious Sites, Architectural Buildings","Khole Ke Hanuman JI Temple, Jaipur",269,4.5,3.574563026,Jaipur District,Jaipur
Sights & Landmarks,Sacred & Religious Sites,Galtaji Temple,378,4,3.217954397,Jaipur District,Jaipur
Sights & Landmarks,"Points of Interest & Landmarks, Architectural Buildings",Patrika Gate,84,4.5,3.64905405,Jaipur District,Jaipur
Sights & Landmarks,Historic Sites,Royal Gaitor Tumbas,335,4.5,3.924372911,Jaipur District,Jaipur
Sights & Landmarks,Points of Interest & Landmarks,Gatore Ki Chhatriyan,92,4.5,3.456348181,Jaipur District,Jaipur
Sights & Landmarks,Sacred & Religious Sites,Govind Devji Temple,709,4.5,4.154461384,Jaipur District,Jaipur
Spas & Wellness,Spas,Kerala Ayurveda Kendra,1252,5,4.462175846,Jaipur District,Jaipur
Museums,"History Museums, Military Museums",Jaisalmer War Museum,699,4.5,4.169271469,Jaisalmer District,Jaisalmer
Nature & Parks,Bodies of Water,Gadsisar Sagar Lake,2235,4,3.556519747,Jaisalmer District,Jaisalmer
Sights & Landmarks,Sacred & Religious Sites,Jain Temples,1140,4.5,4.028944969,Jaisalmer District,Jaisalmer
Sights & Landmarks,"Architectural Buildings, Historic Sites",Kothari's Patwaon-Ki-Haveli,1868,4.5,3.840477228,Jaisalmer District,Jaisalmer
Sights & Landmarks,Sacred & Religious Sites,Tanot Mata Temple,771,4.5,4.093033791,Jaisalmer District,Jaisalmer
"Museums, Traveler Resources","Specialty Museums, Libraries",Gandhi Research Foundation,47,4.5,3.1034832,Jalgaon District,Jalgaon
Nature & Parks,Geologic Formations,Dooars,167,4.5,3.814446926,Jalpaiguri District,Jalpaiguri
Sights & Landmarks,Historic Sites,Bahu Fort,62,4,3.012929201,Jammu,
Sights & Landmarks,"Points of Interest & Landmarks, Sacred & Religious Sites",Bhairo Baba Temple,59,4.5,3.459882975,Jammu,Reasi District
Sights & Landmarks,Sacred & Religious Sites,Nau Devi Temple,162,4.5,3.658205271,Jammu,Reasi District
"Sights & Landmarks, Nature & Parks, Outdoor Activities","Lookouts, Ski & Snowboard Areas",Nathatop,267,4.5,3.864761591,Jammu,Udhampur District
Nature & Parks,Nature & Wildlife Areas,Khijadiya Bird Sanctuary,122,4.5,3.342793703,Jamnagar District,Jamnagar
"Nature & Parks, Outdoor Activities",Beaches,Sivrajpur Beach,55,4.5,3.052774668,Jamnagar District,Jamnagar
Nature & Parks,Nature & Wildlife Areas,Bhindawas Wildlife  Sanctuary,8,4.5,2.814340353,Jhajjar District,Jhajjar
Sights & Landmarks,Farms,Pratapgarh Farms,96,4,3.071579933,Jhajjar District,Jhajjar
Sights & Landmarks,Historic Sites,Jhansi Fort,241,4,3.742237329,Jhansi,
Shopping,Gift & Specialty Shops,Mohanlal Verhomal Spices (MV SPICES),1364,5,4.482375622,Jodhpur District,Jodhpur
"Shopping, Museums",Art Galleries,Ganesh Handicrafts,862,5,4.405605793,Jodhpur District,Jodhpur
Sights & Landmarks,"Ancient Ruins, Architectural Buildings",Walk to blueCity heritagetour,112,5,4.416904449,Jodhpur District,Jodhpur
"Tours, Boat Tours & Water Sports, Outdoor Activities",Parasailing & Paragliding,SkyVentures,465,5,4.400743008,Jodhpur District,Jodhpur
Sights & Landmarks,"Sacred & Religious Sites, Ancient Ruins",Girnar  Jain Temples,53,4.5,3.224458694,Junagadh District,Junagadh
Sights & Landmarks,"Points of Interest & Landmarks, Historic Sites",Gandikota Fort,272,4.5,3.966939449,Kadapa District,Gandikota
Sights & Landmarks,Sacred & Religious Sites,Dargah Khwaja Bandanawaz,58,4.5,3.228639603,Kalaburagi District,Gulbarga
"Sights & Landmarks, Nature & Parks","Geologic Formations, Points of Interest & Landmarks",Deolo Hill,564,4.5,3.853025675,Kalimpong District,Kalimpong
Sights & Landmarks,Sacred & Religious Sites,Umananda Temple,459,4,3.799492836,Kamrup Metropolitan District,Guwahati
Sights & Landmarks,Sacred & Religious Sites,Kailasanatha Temple,286,4.5,4.140099049,Kanchipuram District,Kanchipuram
Sights & Landmarks,"Historic Sites, Sacred & Religious Sites",Ekambareswarar Temple,381,4.5,4.049847126,Kanchipuram District,Kanchipuram
Sights & Landmarks,Sacred & Religious Sites,Thennangur Panduranga Temple,48,4.5,3.103775501,Kanchipuram District,Kanchipuram
Sights & Landmarks,Sacred & Religious Sites,Shore Temple,1672,4.5,3.934898376,Kanchipuram District,Mahabalipuram
Nature & Parks,Valleys,Kangra Valley,188,4.5,3.710084438,Kangra District,Dharamsala
Sights & Landmarks,"Points of Interest & Landmarks, Historic Sites",Kangra Fort,314,4.5,3.950308323,Kangra District,Kangra
Sights & Landmarks,Sacred & Religious Sites,Bajreshwari Devi Temple,118,4.5,3.577328444,Kangra District,Kangra
Nature & Parks,"Mountains, Valleys, Nature & Wildlife Areas",Palakkayam Thattu,66,4.5,3.313186884,Kannur District,Kannur
Water & Amusement Parks,Theme Parks,Blue World Theme Park,108,4,3.111114502,Kanpur Nagar District,Kanpur
Sights & Landmarks,"Monuments & Statues, Points of Interest & Landmarks",Thiruvalluvar Statue,800,4,3.793492556,Kanyakumari District,Kanyakumari
"Sights & Landmarks, Nature & Parks","Nature & Wildlife Areas, Points of Interest & Landmarks, Lookouts",Sunset View Point,334,4,3.829290628,Kanyakumari District,Kanyakumari
"Nature & Parks, Outdoor Activities","Mountains, Hiking Trails",Ranipuram,59,4.5,3.137105703,Kasaragod District,Kasaragod
Nature & Parks,Deserts,Nubhra Valley,11,4.5,2.832853556,Kashmir,
Nature & Parks,Mountains,Apharwat Peak,629,4.5,4.210974216,Kashmir,Baramulla District
Sights & Landmarks,Points of Interest & Landmarks,Shankaracharya Hill,2127,4.5,4.130865097,Kashmir,Srinagar District
"Tours, Boat Tours & Water Sports, Transportation, Outdoor Activities","Tramways, Gondola Cruises",Gulmarg Gondola,3310,4.5,3.769050837,Kashmir,Baramulla District
